time,samples
0.5175731182098389, 268
1.0401153564453125, 536
1.5513584613800049, 804
2.0712616443634033, 1072
2.5901708602905273, 1340
3.104796886444092, 1608
3.5840461254119873, 1876
4.064341068267822, 2144
4.553316593170166, 2412
5.0487380027771, 2680
5.535130262374878, 2948
6.02323055267334, 3216
6.509775876998901, 3484
7.007200717926025, 3752
7.5004353523254395, 4020
7.964454650878906, 4288
8.45511507987976, 4556
8.940482139587402, 4824
9.438586950302124, 5092
9.925836086273193, 5360
10.423901081085205, 5628
10.917687892913818, 5896
11.423643112182617, 6164
11.905421018600464, 6432
12.399638652801514, 6700
12.889544010162354, 6968
13.384768009185791, 7236
13.877328872680664, 7504
14.367990493774414, 7772
14.367990493774414
